X,CH1,CH2,CH3,CH4,Start,Increment,Unnamed: 7,V_t
,Volt,Volt,Volt,Volt,-0.3,0.0005,,
0.0,9.60e-01,8.00e-01,4.00e+00,4.00e-02,,,,
1.0,8.80e-01,4.00e-01,3.68e+00,4.80e-02,,,,14.514196567398972
2.0,9.60e-01,4.00e-01,3.76e+00,4.80e-02,,,,14.514196567398972
3.0,8.80e-01,8.00e-01,2.56e+00,2.40e-02,,,,10.743946567399021
4.0,8.80e-01,8.00e-01,3.28e+00,3.20e-02,,,,14.514196567398972
5.0,9.60e-01,4.00e-01,3.84e+00,4.80e-02,,,,14.514196567398972
6.0,8.80e-01,8.00e-01,3.76e+00,4.00e-02,,,,10.74394656739895
7.0,9.60e-01,4.00e-01,4.00e+00,4.80e-02,,,,9.736111317926204
8.0,8.80e-01,4.00e-01,4.00e+00,4.80e-02,,,,14.514196567398972
9.0,9.60e-01,8.00e-01,3.52e+00,3.20e-02,,,,12.437161261964784
10.0,8.80e-01,4.00e-01,3.60e+00,4.80e-02,,,,14.514196567398972
11.0,9.40e-01,8.00e-01,2.64e+00,2.40e-02,,,,13.04484220257921
12.0,8.80e-01,4.00e-01,3.28e+00,3.20e-02,,,,10.743946567398984
13.0,9.60e-01,8.00e-01,3.76e+00,4.80e-02,,,,10.119314801870912
14.0,8.80e-01,4.00e-01,3.84e+00,4.80e-02,,,,11.441390199899821
15.0,9.40e-01,8.00e-01,3.68e+00,3.20e-02,,,,10.74394656739897
16.0,8.80e-01,8.00e-01,3.84e+00,4.80e-02,,,,9.487196567398973
17.0,9.40e-01,4.00e-01,3.44e+00,3.20e-02,,,,12.23261308890995
18.0,9.60e-01,8.00e-01,3.52e+00,3.20e-02,,,,13.926149275178517
19.0,8.80e-01,4.00e-01,2.64e+00,4.80e-02,,,,9.52147743129623
20.0,8.80e-01,8.00e-01,3.44e+00,3.20e-02,,,,14.514196567398972
21.0,9.60e-01,4.00e-01,3.84e+00,4.80e-02,,,,9.515270285682114
22.0,8.80e-01,4.00e-01,3.84e+00,4.80e-02,,,,14.115187322170147
23.0,9.60e-01,8.00e-01,3.68e+00,4.00e-02,,,,11.158976662207191
24.0,9.00e-01,8.00e-01,3.76e+00,4.80e-02,,,,10.743946567398968
25.0,9.60e-01,4.00e-01,3.28e+00,3.20e-02,,,,14.514196567398972
26.0,9.00e-01,8.00e-01,3.36e+00,4.00e-02,,,,11.10939718381756
27.0,9.60e-01,4.00e-01,2.40e+00,2.40e-02,,,,9.90069795341256
